IT8.7/2
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "March 30,1999"
MANUFACTURER  "C-ROES"
PROD_DATE  "1999:03"
SERIAL  "Batch average data"
MATERIAL  "Fuji Paper"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE_ID     XYZ_X     XYZ_Y     XYZ_Z     LAB_L     LAB_A     LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
K17      22.40   12.49    2.43   41.98   57.47   38.21   69.01   33.62
K18       6.64   12.81    3.31   42.47  -47.05   32.36   57.10  145.48
K19       5.13    3.33   20.70   21.32   27.16  -61.84   67.54  293.71
K20      19.84   17.40    7.75   48.76   16.09   20.73   26.24   52.18
K21      25.79   21.73   10.67   53.74   21.60   19.08   28.82   41.46
K22      21.80   17.23    7.70   48.54   26.45   20.54   33.49   37.84
L01       4.58    3.62    3.27   22.36   15.77   -2.03   15.90  352.65
L02       5.98    3.92    3.63   23.40   28.07   -2.69   28.20  354.52
L03       9.81    5.86    3.46   29.06   39.23    8.18   40.07   11.77
L04       9.79    5.85    3.47   29.02   39.23    8.08   40.05   11.63
L05      15.08   12.67   10.94   42.27   18.26   -1.54   18.32  355.18
L06      18.27   12.75   12.23   42.38   35.58   -5.22   35.96  351.66
L07      21.72   12.98   13.56   42.72   51.14   -8.34   51.81  350.74
L08      24.78   13.28   14.96   43.18   62.84  -11.19   63.83  349.91
L09      47.52   45.97   39.87   73.52    9.12   -2.63    9.49  343.91
L10      49.39   45.16   40.52   73.00   16.50   -4.38   17.07  345.13
L11      51.23   44.73   41.66   72.71   22.64   -6.35   23.51  344.33
L12      51.63   42.87   41.64   71.46   29.09   -8.48   30.30  343.74
L13      11.16   18.35   34.36   49.92  -40.42  -35.74   53.95  221.49
L14      27.75   13.59   31.71   43.63   73.14  -42.63   84.65  329.76
L15      52.88   50.05    3.29   76.10   12.36   90.47   91.31   82.22
L16       1.08    1.09    1.04    9.71    0.90   -2.15    2.33  292.76
L17      19.99   10.66    1.54   39.00   58.94   41.77   72.24   35.33
L18       5.14   10.39    2.29   38.52  -46.77   33.42   57.48  144.45
L19       4.17    2.40   18.21   17.46   31.32  -63.20   70.54  296.36
L20      24.87   22.15   12.77   54.18   15.79   13.62   20.85   40.77
L21      20.39   16.99    9.13   48.25   20.98   14.72   25.63   35.06
L22      27.24   21.84   12.53   53.86   27.03   13.72   30.31   26.92
Dmin     77.11   79.98   66.93   91.68    0.05   -0.92    0.92  273.11
GS1      71.93   74.43   62.10   89.13    0.40   -0.72    0.83  299.12
GS2      65.90   68.00   56.74   86.01    0.80   -0.70    1.06  318.71
GS3      57.45   59.28   49.61   81.45    0.78   -0.84    1.14  312.78
GS4      50.70   52.30   43.90   77.46    0.80   -0.97    1.25  309.50
GS5      44.46   45.92   38.60   73.50    0.59   -1.00    1.16  300.56
GS6      38.04   39.28   32.87   68.96    0.57   -0.73    0.92  307.96
GS7      32.49   33.63   28.28   64.67    0.29   -0.92    0.96  287.26
GS8      26.63   27.50   23.18   59.43    0.53   -0.97    1.10  298.55
GS9      22.86   23.62   19.97   55.71    0.44   -1.03    1.12  293.18
GS10     18.81   19.45   16.41   51.21    0.35   -0.90    0.97  291.39
GS11     15.37   15.89   13.55   46.84    0.30   -1.21    1.24  284.06
GS12     12.71   13.15   11.22   42.99    0.21   -1.17    1.18  280.10
GS13      9.84   10.19    8.79   38.18    0.13   -1.43    1.43  275.21
GS14      7.93    8.25    7.13   34.49   -0.14   -1.38    1.39  264.12
GS15      6.17    6.44    5.60   30.48   -0.32   -1.47    1.50  257.63
GS16      4.78    5.00    4.41   26.73   -0.47   -1.65    1.72  254.04
GS17      3.64    3.81    3.39   23.04   -0.47   -1.70    1.76  254.52
GS18      2.77    2.90    2.62   19.64   -0.54   -1.89    1.96  254.12
GS19      2.07    2.17    2.01   16.36   -0.64   -2.20    2.29  253.86
GS20      1.65    1.72    1.62   13.95   -0.35   -2.33    2.36  261.46
GS21      1.24    1.28    1.21   11.10    0.34   -2.20    2.23  278.85
GS22      0.97    0.97    0.91    8.74    1.16   -1.84    2.17  302.08
Dmax      0.96    0.96    0.91    8.65    1.16   -1.97    2.29  300.51
END_DATA
