IT8.7/2
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "April 6,1999"
MANUFACTURER  "C-ROES"
PROD_DATE  "1999:04"
SERIAL  "Batch average data"
MATERIAL  "Fuji Paper"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE  XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
H12      33.74   40.32   48.39   69.70  -17.00  -19.69   26.01  229.20
H13      21.50   31.06   45.21   62.56  -35.39  -28.25   45.28  218.60
H14      38.94   24.06   42.62   56.14   58.67  -36.12   68.89  328.38
H15      60.29   60.49    9.87   82.11    4.77   70.58   70.74   86.14
H16       6.49    6.84    5.87   31.43   -1.05   -1.07    1.50  225.61
H17      30.00   19.48    6.67   51.24   49.00   29.45   57.17   31.00
H18      13.94   22.24    7.78   54.29  -40.51   30.14   50.49  143.35
H19      10.59    8.63   29.59   35.27   18.52  -53.75   56.85  289.01
H20      27.47   25.88   14.78   57.93   10.39   14.71   18.00   54.76
H21      35.53   32.44   19.96   63.71   14.95   12.78   19.67   40.52
H22      30.64   26.13   15.15   58.16   21.60   14.17   25.83   33.26
I01       4.16    4.30    5.96   24.64    0.18  -13.22   13.22  270.77
I02       4.44    4.65    9.17   25.72   -0.62  -24.24   24.25  268.54
I03       4.62    4.87   13.08   26.36   -0.94  -35.23   35.24  268.48
I04       4.68    4.86   16.22   26.34   -0.05  -43.33   43.33  269.93
I05      13.87   14.41   15.52   44.82   -0.15   -9.76    9.76  269.10
I06      14.12   14.51   20.41   44.95    0.84  -20.48   20.50  272.36
I07      14.12   14.56   25.17   45.02    0.56  -29.44   29.45  271.09
I08      14.25   14.68   30.00   45.19    0.65  -37.27   37.28  271.00
I09      39.00   40.28   37.96   69.67    0.57   -6.73    6.75  274.84
I10      38.92   40.03   41.97   69.49    1.08  -12.29   12.33  275.02
I11      39.51   40.60   46.32   69.90    1.19  -16.94   16.98  274.03
I12      39.02   39.99   48.94   69.46    1.52  -20.73   20.79  274.19
I13      17.70   26.74   41.95   58.73  -37.92  -30.81   48.86  219.10
