IT8.7/1
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "June 9,1999"
MANUFACTURER  "C-ROES"
PROD_DATE  "1999:05"
SERIAL  "Batch average data"
MATERIAL  "Konica Film"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE  XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
J09      38.29   38.03   36.38   68.04    5.31   -7.35    9.07  305.85
J10      39.98   38.24   40.65   68.20    9.97  -12.83   16.25  307.85
J11      41.39   38.47   45.12   68.37   13.56  -18.13   22.64  306.79
J12      42.85   38.68   49.31   68.52   17.29  -22.78   28.60  307.20
J13      21.81   35.03   52.38   65.77  -47.78  -30.94   56.92  212.93
J14      39.73   21.05   42.69   53.00   74.71  -41.63   85.53  330.87
J15      71.71   74.29    7.37   89.06    0.21   91.70   91.70   89.87
J16       2.74    2.89    2.90   19.61   -0.90   -4.11    4.21  257.65
J17      31.85   18.14    3.28   49.67   62.63   44.98   77.11   35.69
J18      11.96   24.28    6.07   56.37  -62.56   40.93   74.76  146.81
J19       7.75    5.11   29.44   27.05   30.20  -67.66   74.09  294.05
J20      22.35   21.27   10.75   53.24    8.75   17.95   19.97   64.01
J21      17.66   15.54    7.34   46.36   15.20   18.23   23.74   50.18
J22      25.58   21.04   10.20   53.00   23.92   19.31   30.74   38.91
K01       3.98    3.21    5.51   20.85   14.06  -17.63   22.55  308.57
K02       5.33    3.30    7.54   21.21   30.13  -25.97   39.78  319.24
K03       6.57    3.43    9.55   21.70   41.72  -32.49   52.88  322.09
K04       8.42    4.22   11.87   24.38   47.84  -35.20   59.39  323.65
K05      11.77    9.91   13.12   37.68   16.72  -15.82   23.02  316.58
K06      14.45   10.14   17.46   38.08   32.49  -25.97   41.59  321.36
K07      18.14   10.51   23.45   38.75   50.56  -37.15   62.74  323.69
K08      20.56   10.80   26.40   39.25   60.63  -41.57   73.51  325.56
K09      34.35   31.97   31.56   63.32   12.60   -8.46   15.18  326.12
K10      39.53   33.94   35.71   64.92   22.72  -11.81   25.61  332.53
K11      41.89   32.94   40.19   64.12   33.40  -19.27   38.56  330.02
K12      44.66   32.70   45.35   63.92   42.43  -26.07   49.80  328.43
K13      18.29   30.67   49.73   62.23  -49.88  -34.10   60.42  214.36
K14      36.06   17.63   39.22   49.05   79.92  -43.98   91.22  331.18
K15      70.49   71.90    4.80   87.92    2.55  101.68  101.71   88.56
K16       1.42    1.52    1.52   12.76   -1.34   -3.27    3.53  247.72
K17      28.58   15.24    1.63   45.96   66.37   52.74   84.77   38.47
K18       8.80   19.57    3.84   51.35  -65.17   44.17   78.73  145.87
K19       6.46    3.33   28.55   21.33   42.25  -76.08   87.02  299.05
K20      16.96   15.81    8.38   46.72    9.83   14.79   17.76   56.39
K21      23.30   20.27   11.21   52.15   17.74   14.65   23.01   39.55
K22      18.88   15.65    8.04   46.51   20.93   15.71   26.17   36.89
L01       3.55    3.02    3.69   20.13   10.68   -8.70   13.78  320.83
L02       4.75    3.13    4.37   20.55   25.79  -12.11   28.49  334.85
L03       5.62    3.14    4.32   20.61   36.02  -11.69   37.87  342.02
L04       7.28    3.95    4.61   23.50   41.11   -8.38   41.96  348.48
L05      11.58    9.64   10.40   37.19   17.43   -8.60   19.44  333.74
L06      14.75    9.79   11.69   37.45   37.05  -12.13   38.99  341.87
L07      18.48    9.73   13.06   37.35   58.37  -16.22   60.58  344.47
L08      19.79    9.88   13.00   37.62   63.84  -15.59   65.72  346.28
L09      34.93   32.52   28.82   63.77   12.62   -3.35   13.06  345.13
L10      39.77   33.59   30.72   64.63   24.68   -4.89   25.16  348.79
L11      42.61   33.11   31.89   64.25   34.99   -7.35   35.75  348.14
L12      44.23   32.74   33.71   63.95   41.05  -10.59   42.39  345.53
L13      13.24   23.59   44.61   55.67  -50.91  -39.40   64.38  217.74
L14      32.18   14.55   35.10   45.01   83.89  -45.27   95.33  331.65
L15      69.32   69.32    3.07   86.66    5.47  110.22  110.36   87.16
L16       0.52    0.63    0.73    5.66   -3.35   -4.10    5.29  230.75
L17      25.37   12.72    0.72   42.34   68.98   59.37   91.01   40.72
L18       5.38   13.89    2.28   44.07  -67.84   43.07   80.36  147.59
L19       4.52    1.86   23.10   14.73   47.89  -77.89   91.43  301.58
L20      21.60   19.72   13.01   51.52   12.67    8.34   15.17   33.35
L21      17.50   15.14    9.54   45.82   16.63    9.15   18.98   28.82
L22      25.18   20.41   12.85   52.30   25.22   10.12   27.17   21.86
Dmin     86.31   89.79   69.29   95.91   -0.42    4.21    4.23   95.70
GS1      73.13   75.89   60.30   89.81   -0.02    2.23    2.23   90.51
GS2      64.91   67.22   54.05   85.62    0.27    1.46    1.48   79.52
