IT8.7/1
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "April 2,1999"
MANUFACTURER  "C-ROES"
PROD_DATE  "1999:04"
SERIAL  "Batch average data"
MATERIAL  "Konica Film"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE  XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
L15      67.86   68.09    2.91   86.05    4.94  110.31  110.42   87.44
L16       0.55    0.62    0.76    5.60   -1.89   -4.75    5.11  248.30
L17      24.99   12.56    0.60   42.09   68.44   61.19   91.81   41.80
L18       5.07   13.23    2.23   43.11  -67.48   41.87   79.41  148.18
L19       4.45    1.65   22.89   13.55   52.02  -79.52   95.02  303.19
L20      23.42   21.18   12.64   53.15   13.94   12.18   18.51   41.15
L21      19.13   16.23    9.10   47.27   18.91   13.16   23.04   34.84
L22      26.49   21.36   12.49   53.34   26.22   12.93   29.23   26.25
Dmin     84.28   87.84   69.01   95.09   -0.72    3.06    3.14  103.24
GS1      73.34   76.69   62.11   90.18   -1.20    1.09    1.62  137.75
GS2      65.60   68.49   55.89   86.25   -0.92    0.61    1.10  146.45
GS3      56.03   58.41   48.09   80.97   -0.67    0.08    0.67  173.19
GS4      48.33   50.19   41.79   76.18   -0.11   -0.52    0.53  258.06
GS5      41.70   43.34   36.22   71.79   -0.23   -0.68    0.72  251.31
GS6      35.51   36.81   30.95   67.13    0.13   -0.93    0.94  277.96
GS7      30.84   31.86   26.84   63.23    0.47   -0.97    1.08  295.85
GS8      25.51   26.35   22.20   58.37    0.47   -0.92    1.03  297.06
GS9      22.13   22.88   19.30   54.95    0.36   -0.93    1.00  291.16
GS10     18.50   19.06   15.96   50.75    0.72   -0.60    0.94  320.19
GS11     15.29   15.69   13.20   46.56    1.00   -0.74    1.24  323.50
GS12     12.77   13.05   11.20   42.84    1.29   -1.37    1.88  313.28
GS13      9.94   10.23    8.94   38.25    0.65   -1.83    1.94  289.55
GS14      8.08    8.39    7.44   34.78   -0.09   -2.17    2.17  267.63
GS15      6.33    6.61    5.94   30.89   -0.39   -2.35    2.38  260.58
GS16      4.96    5.16    4.63   27.17   -0.15   -2.14    2.15  265.99
GS17      3.67    3.80    3.46   22.99    0.13   -2.27    2.27  273.28
GS18      2.63    2.73    2.61   18.93    0.00   -3.03    3.03  270.00
GS19      1.77    1.88    1.82   14.85   -0.97   -2.96    3.11  251.86
GS20      1.27    1.36    1.35   11.69   -1.38   -3.07    3.37  245.80
GS21      0.72    0.80    0.85    7.20   -1.77   -3.50    3.92  243.17
GS22      0.41    0.46    0.64    4.17   -1.57   -4.97    5.21  252.47
Dmax      0.39    0.45    0.61    4.02   -1.52   -4.58    4.83  251.64
END_DATA
