IT8.7/1
ORIGINATOR  "C-ROES"
DESCRIPTOR  "calibration data"
CREATED  "April 12, 2000"
MANUFACTURER  "C-ROES"
PROD_DATE  "1999:10"
SERIAL  "Batch average data"
MATERIAL  "Kodak Film"
NUMBER_OF_FIELDS  9
BEGIN_DATA_FORMAT
SAMPLE  XYZ_X   XYZ_Y   XYZ_Z   LAB_L   LAB_A   LAB_B   LAB_C   LAB_H
END_DATA_FORMAT
NUMBER_OF_SETS  288
BEGIN_DATA
#ID         X       Y       Z       L       A       B       C       H
J14      37.28   18.04   41.34   49.55   82.78  -45.88   94.64  331.00
J15      72.32   74.24    6.14   89.04    2.61   96.94   96.98   88.46
J16       1.94    2.04    1.69   15.68    0.40   -0.11    0.41  344.62
J17      29.91   16.03    2.67   47.01   67.91   44.93   81.43   33.49
J18      10.52   22.33    4.76   54.37  -63.36   44.06   77.17  145.19
J19       5.14    3.09   22.16   20.42   32.27  -66.28   73.72  295.96
J20      21.41   20.14    8.82   51.99   10.75   22.30   24.76   64.26
J21      17.30   15.41    6.25   46.19   14.96   22.57   27.08   56.46
J22      23.48   20.13    8.94   51.99   20.21   21.83   29.75   47.21
K01       2.14    1.78    2.16   14.27   11.17   -7.26   13.32  326.98
K02       2.61    1.74    3.16   14.06   21.52  -15.57   26.56  324.11
K03       3.18    1.75    4.23   14.09   31.69  -22.44   38.83  324.70
K04       4.06    1.84    6.25   14.62   43.04  -31.85   53.54  323.50
K05       7.02    6.02    7.21   29.46   13.85  -10.41   17.33  323.07
K06       8.56    6.02   10.00   29.47   28.05  -20.59   34.80  323.72
K07       9.94    5.79   12.55   28.87   42.08  -29.43   51.35  325.03
K08      12.24    5.72   17.45   28.71   59.62  -42.11   72.99  324.77
K09      23.45   22.50   22.28   54.56    9.03   -7.65   11.83  319.73
K10      25.33   22.41   25.33   54.46   17.57  -13.47   22.14  322.52
K11      27.84   22.56   28.37   54.62   27.12  -18.39   32.77  325.86
K12      33.31   23.10   38.46   55.18   45.06  -32.39   55.49  324.29
K13      14.39   26.09   44.48   58.12  -53.25  -35.01   63.73  213.32
K14      32.80   14.44   36.74   44.85   87.79  -47.84   99.98  331.41
K15      71.45   72.76    4.55   88.33    3.81  103.72  103.79   87.90
